Particle no.,Size range,Color,Morphology,Particle.type,Particle.type.broad
1,0.764,clear,fragment,polyethylene,P
2,0.347,blue,fragment,anthropogenic,A
3,na,black,fiber,natural,N
4,0.428,black,fiber,anthropogenic,A
5,0.94,black,fiber,anthropogenic,A
6,0.161,blue,fragment,anthropogenic,A
7,na,blue,fragment,anthropogenic,A
8,0.181,red,fragment,anthropogenic,A
9,0.357,blue,fragment,polypropylene,P
10,na,blue,fragment,anthropogenic,A
11,0.474,clear,film,natural,N
12,0.476,red,fragment,anthropogenic,A
13,0.194,blue,fragment,polyethylene,P
14,0.23,gold,fragment,anthropogenic,A
15,1.928,blue,fiber,anthropogenic,A
16,2.821,black,fiber,anthropogenic,A
17,0.746,clear,fragment,glass ,N
18,0.409,clear,sphere,glass ,N
19,0.513,gold,fragment,anthropogenic,A
20,0.598,gold,fragment,anthropogenic,A
21,2.18,blue,fiber,anthropogenic,A
22,1.148,black,fiber,anthropogenic,A
23,2.21,blue,fiber,anthropogenic,A
24,1.509,black,fiber,anthropogenic,A
25,0.637,black,fragment,anthropogenic,A
26,0.836,black,fragment,anthropogenic,A
27,2.042,blue,fiber,anthropogenic,A
28,1.209,black,fiber,anthropogenic,A
29,0.516,clear,fragment,polypropylene,P
30,0.773,clear,fragment,anthropogenic,A
31,3.105,blue,fiber,anthropogenic,A
32,0.698,yellow,fragment,anthropogenic,A
33,0.539,black,fragment,anthropogenic,A
34,1.401,black,fiber,anthropogenic,A
35,2.4,blue,fiber,anthropogenic,A
36,1.8,black,fiber,anthropogenic,A
37,3,blue,fiber,anthropogenic,A
38,1.5,pink,fiber,polyester,P
39,1,black,fiber_bundle,anthropogenic,A
40,0.8,white,fragment,mineral,N
41,2.5,black,fiber,anthropogenic,A
42,2.2,black,fiber,anthropogenic,A
43,2.1,red,fragment,paint,A
44,0.9,clear,fragment,mineral,N
45,5.2,blue,fiber,anthropogenic,A
46,2.7,black,fiber,anthropogenic,A
47,3.6,red,fragment,paint,A
48,0.8,blue,fragment,anthropogenic,A
49,3,blue,fiber,anthropogenic,A
50,0.4,yellow,fragment,paint,A
51,0.8,white,fragment,anthropogenic,A
52,5.4,black,fiber,anthropogenic,A
53,2.9,red,fiber,anthropogenic,A
54,0.9,yellow,fragment,paint,A
55,0.5,clear,sphere,glass,N
56,1.2,green,fragment,paint,A
57,2.8,green,fragment,polystyrene,P
58,4.1,blue,fiber,poly(acrylonitrile),P
59,1.6,red,fragment,anthropogenic,A
60,0.9,red,fragment,anthropogenic,A
61,2.8,blue,fiber,wool,N
62,0.6,black_white,fragment,anthropogenic,A
63,1.9,red,fragment,anthropogenic,A
64,1.1,white,fragment,polystyrene,P
65,3.2,blue,fiber,polyester,P
66,1.5,black,rubber,rubber,P
67,0.9,black,fiber,anthropogenic,A
68,1,silver,fragment,polyurethane foam,P
69,"N/A, broken up asphalt",black,fragment,asphalt,A
70,0.5,red,fragment,anthropogenic,A
71,0.6,clear,sphere,glass,N
72,1.1,black,rubber,rubber,P
73,1.8,pink,fiber,anthropogenic,A
