"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"Raingarden1",178,162,162,118,24,140,102,104,11
"Raingarden2",73,60,60,61,14,61,27,52,5
"Raingarden3",316,313,313,244,47,311,138,250,39
