"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"Raingarden1",178,48,48,64,7,60,25,77,5
"Raingarden2",73,32,32,35,5,35,14,41,3
"Raingarden3",316,49,49,52,4,26,6,46,2
