"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"Raingarden1",178,22,22,39,3,36,13,60,3
"Raingarden2",73,17,17,27,3,21,7,31,2
"Raingarden3",316,26,26,32,2,18,4,27,1
