"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"Raingarden1",178,113,113,99,16,78,40,83,6
"Raingarden2",73,62,62,63,15,61,27,52,5
"Raingarden3",316,239,239,184,30,211,71,131,10
