"dataset","totparticles","totsubsamps","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"lorenz plankton",472,23,200,11,259,3,210,6,261,2
"lorenz sediment",103,18,84,7,86,3,82,5,79,2
"bourdages birds",61,28,44,2,43,1,33,1,45,1
"teboul birds",52,6,34,11,24,3,23,2,21,1
"CJ sediment",361,87,307,5,173,1,194,2,177,1
"CJ inverts",361,64,229,4,147,1,241,4,153,1
"CJ inverts time",528,123,383,4,235,1,333,3,237,1
"rain garden",567,3,223,75,246,12,237,28,254,7
