"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"LusherFish",317,8,8,11,1,10,2,33,1
"LusherSediment",635,30,30,44,4,31,13,45,2
"LusherMussels",303,26,26,39,5,26,13,33,3
"BrateMussels",140,35,35,37,7,38,19,41,5
"Primpke1",120,14,14,18,1,15,4,27,1
"Primpke2",60,41,41,50,8,42,20,47,5
"Primpke3",57,46,46,51,9,50,24,48,5
"Raingarden1",178,41,41,30,2,36,13,46,2
"Raingarden2",73,45,45,35,5,35,14,41,3
"Raingarden3",316,25,25,32,2,30,7,46,2
