"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"Raingarden1",178,40,40,39,3,40,15,46,2
"Raingarden2",73,45,45,43,7,41,17,41,3
"Raingarden3",316,25,25,32,2,26,6,46,2
