Particle no.,Size range,Color,Morphology,Particle.type,Particle.type.broad
153,5.3,black,fiber,anthropogenic,A
154,5,white,fiber,natural,N
155,2.5,white,fiber,cellulose,N
156,9.38,red,fiber,anthropogenic,A
157,1.3,blue,fragment,POM,N
158,2.6,black,fiber,anthropogenic,A
159,1.7,black,fiber,anthropogenic,A
160,1.9,black,fiber,anthropogenic,A
161,1.9,black,fiber,anthropogenic,A
162,0.7,black,fiber,anthropogenic,A
163,1.6,red,fragment,polyethylene,P
164,bundle,white,fiber_bundle,anthropogenic,A
165,1.95,grey,fiber,anthropogenic,A
166,0.6,grey,fiber,anthropogenic,A
167,1.4,black,fiber,anthropogenic,A
168,1.9,blue,fiber,anthropogenic,A
169,bundle,white,fiber_bundle,anthropogenic,A
170,0.6,clear,sphere,mineral,N
171,2.3,red,fragment,anthropogenic,A
172,3.7,black,fiber,anthropogenic,A
173,2.1,black,fiber,anthropogenic,A
174,1.6,blue,fiber,cellulose,A
175,bundle,white,fiber_bundle,anthropogenic,A
176,2.3,blue,fiber,anthropogenic,A
177,0.9,black,fiber,anthropogenic,A
178,1.1,black,fiber,anthropogenic,A
